归来见天子	包装用语	反面向上
孩子的情感不可伤	包装用语	小心易碎
空中补漏	包装用语	八字缝
千钧一发	包装用语	毛重
请君为我倾耳听	包装用语	开口向上
劝君莫看黄色戏	包装用语	小心剧毒
人到暮年知情重	包装用语	小心轻放
十分有份量	包装用语	毛重
无辫一身轻	包装用语	毛重
仰望	包装用语	此面向上
正割	包装用语	切勿倒置
自幼便有凌云志	包装用语	小心向上
自幼立志攀高峰	包装用语	小心向上
爱在心里口难开	保险词语	情况不报
安定团结	保险词语	保险合同
安好	保险词语	子女保险
安居	保险词语	房屋保险
安居平五路	保险词语	分保
安居西方一载	保险词语	年金保险
安眠药	保险词语	保险利息
安全日	保险词语	阳光保险
安全在我心中	保险词语	人身保险
安然无恙	保险词语	健康保险
八戒投胎	保险词语	生猪保险
白头到老	保险词语	两全人寿保险
百慕大航行	保险词语	经济危险
百年大计质量第一	保险词语	工程保险
百岁爷	保险词语	经纪人
百万雄师过大江	保险词语	经济合同
柏林告急	保险词语	道德危险
保管员擅离职守	保险词语	仓储险
杯酒释兵权	保险词语	主要险别
北极光	保险词语	全部损失
本人绝对可靠	保险词语	集体保险
边塞烽火	保险词语	涉外险
别来无恙	保险词语	分保险
不安全隐患已消除	保险词语	危险度
不作寻常床箦死	保险词语	重大事故
部队泅渡有护艇	保险词语	旅游保险
蚕蛾配种	保险词语	一次交
产房年年无事故	保险词语	养老保险
长坂坡翼德布疑兵	保险词语	飞机保险
船到江心补洞迟	保险词语	渗漏险
船破又遇顶头风	保险词语	接连危险
春风又绿江南岸	保险词语	恢复生效
此地无银三百两	保险词语	准备金
从长计议方无患	保险词语	短量险
打扮之后难提前	保险词语	分摊
打不赢就走	保险词语	退出保险
大敌当前	保险词语	战争险
大海捞针	保险词语	没收金
大陆公民有安全感	保险词语	国内保险
大难不死，必有后福	保险词语	险别，受益人
大限来时各自飞	保险词语	险别
大丈夫何患无妻	保险词语	保险对象
呆	保险词语	投保人
刀口休得近眼看	保险词语	分保
刀下留人	保险词语	生存保险
电视现场直播	保险词语	随机现象
定能信守合同	保险词语	邮包保险
东西太平	保险词语	财产保险
冬吃萝卜夏吃姜	保险词语	健康保险
多米诺骨牌理论	保险词语	推定全损
发落	保险词语	毛损
反误了卿卿性命	保险词语	机身险
飞来横祸	保险词语	意外伤害
非正常死亡	保险词语	意外事故
分开怎能活下去	保险词语	集体保险
焚书坑儒	保险词语	本身损毁
粉饰太平	保险词语	保险要素
风雨不动安如山	保险词语	房屋保险
风雨不动安如山	保险词语	静态保险
烽火台上烽火明	保险词语	报告险情
逢凶化吉	保险词语	险别
夫妻共掌钱财	保险词语	合理费用
